producer_consumer,4,89652052,101417446,9.4806e+07,790050
producer_consumer,8,128841412,153708072,1.34214e+08,1.11845e+06
producer_consumer,12,151331330,153048782,1.52369e+08,1.26974e+06
producer_consumer,16,205509964,206576358,2.05955e+08,1.71629e+06
program,processes,min,max,avg,avg_throughput
workpool,4,159525756,163176976,1.61389e+08,1.3449e+06
workpool,8,274835704,280062696,2.77389e+08,2.31158e+06
workpool,12,217918440,222994560,220584096,1.8382e+06
workpool,16,272680000,281286656,2.77509e+08,2.31257e+06
